SKU;Brand;Nama Produk;Price List NFI;Harga Display;Harga Cost;Harga Organik;Kode;Alias SKU 1;Alias Nama 1;Alias SKU 2;Alias Nama 2;Alias SKU 3;Alias Nama 3;Alias SKU 4;Alias Nama 4;Produk 1;SKU Produk 1;PCS Produk 1;Price List NFI 1;Subtotal Produk 1;Harga Display 1;Harga Cost 1;Harga Organik 1;Produk 2;SKU Produk 2;PCS Produk 2;Price List NFI 2;Subtotal Produk 2;Harga Display 2;Harga Cost 2;Harga Organik 2;Produk 3;SKU Produk 3;PCS Produk 3;Price List NFI 3;Subtotal Produk 3;Harga Display 3;Harga Cost 3;Harga Organik 3;Produk 4;SKU Produk 4;PCS Produk 4;Price List NFI 4;Subtotal Produk 4;Harga Display 4;Harga Cost 4;Harga Organik 4;Produk 5;SKU Produk 5;PCS Produk 5;Price List NFI 5;Subtotal Produk 5;Harga Display 5;Harga Cost 5;Harga Organik 5;Produk 6;SKU Produk 6;PCS Produk 6;Price List NFI 6;Subtotal Produk 6;Harga Display 6;Harga Cost 6;Harga Organik 6;Produk 7;SKU Produk 7;PCS Produk 7;Price List NFI 7;Subtotal Produk 7;Harga Display 7;Harga Cost 7;Harga Organik 7;SKU Generate;Sub Brand;Parent Item;SKU Generate [0];Parent SKU;MP Tokopedia;MP Lazada;MP Blibli;MP Jdid;MP Bukalapak;MP Nutrimart;MP Eksklusif;MP Shopee;Alias Nama 5;Alias SKU 5;Alias Nama 6;Alias SKU 6;Alias Nama 7;Alias SKU 7
2102200208P2;Bundle;Buy 1 Get 1 FREE Tropicana Slim Topping Kental Manis 150ml;50600.0;54000;50600;0;;;;;;;;;;Tropicana Slim Topping Kental Manis 150ml - SUGAR FREE;2102200208;2.0;25300.0;50600.0;54000.0;50600.0;0.0;;;0.0;;;;;0.0;;;0.0;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;2102200208P2;;;;;;;;;;;;;;;
1100534104P2;Bundle;Buy 1 Get 1 Nutrisari Premium Jus Mangga (Expired Date Januari 2020);19800.0;23800;19800;0;;;;;;;;;;NutriSari Premium ala Jus Mangga (4 sch);1100534104;2.0;9900.0;19800.0;23800.0;19800.0;0.0;;;0.0;;;;;0.0;;;0.0;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;1100534104P2;;;;;;;;;;;;;;;
PT35T36G74;Bundle;Goldenlife 1: Goldenmil Vanilla 6s (1pc) + TS Swt Honey 50s (1pc) + Free Lock&Lock (1pc);63800.0;109500;63800;0;;;;;;;;;;Tropicana Slim Goldenmil Vanilla (6 sch);2101384106;1.0;26400.0;26400.0;31600.0;26400.0;0.0;Tropicana Slim Sweetener Honey 50 sachet;2102501125;1.0;37400.0;37400.0;41100.0;35750.0;0.0;(FREE) Lock&Lock Round;(B)71210093;1.0;0.0;0.0;35000.0;0.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;PT35T36G74;;;;;;;;;;;;;;;
PT36(2)G74;Bundle;Goldenlife 2: Goldenmil Vanilla 6s (2pcs) + Free Lock&Lock (1pc);52800.0;98200;52800;0;;;;;;;;;;Tropicana Slim Goldenmil Vanilla (6 sch);2101384106;2.0;26400.0;52800.0;63200.0;52800.0;0.0;(FREE) Lock&Lock Round;(B)71210093;1.0;0.0;0.0;35000.0;0.0;0.0;;;0.0;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;2101384106P2G74;;;;;;;;;;;;;;;
PT17T36(2)G73G74;Bundle;Goldenlife 3: Goldenmil Vanilla 6s (2pcs) + TS Swt Diabtx 100s (1pc) + Free Lock&Lock (2pcs);124300.0;218900;155209;0;;;;;;;;;;Tropicana Slim Goldenmil Vanilla (6 sch);2101384106;2.0;26400.0;52800.0;63200.0;52800.0;0.0;Tropicana Slim DIABTX (100 sch);2102900130;1.0;71500.0;71500.0;81800.0;68200.0;0.0;(FREE) Lock&Lock Round;(B)71210093;1.0;0.0;0.0;35000.0;0.0;0.0;(FREE) Lock&Lock Square;(B)71210092;1.0;0.0;0.0;35000.0;30909.0;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;PT17T36(2)G73G74;;;;;;;;;;;;;;;
PT12T23T36(2)G73G74;Bundle;Goldenlife 4: Goldenmil Vanilla 6s (2pcs) + TS Swt Classic 50s (1pc) + TS Café Latte 10s (1pc) + Free Lock&Lock (2pcs);117700.0;172700;117700;0;;;;;;;;;;Tropicana Slim Goldenmil Vanilla (6 sch);2101384106;2.0;26400.0;52800.0;63200.0;52800.0;0.0;Tropicana Slim Classic (50 sch);2102500125;1.0;37400.0;37400.0;41100.0;35750.0;0.0;Tropicana Slim Cafe Latte (10 sch);2104153110;1.0;27500.0;27500.0;30400.0;26400.0;0.0;(FREE) Lock&Lock Round;(B)71210093;1.0;0.0;0.0;35000.0;0.0;0.0;(FREE) Lock&Lock Square;(B)71210092;1.0;0.0;0.0;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;PT12T23T36(2)G73G74;;;;;;;;;;;;;;;
2101656P24;Bundle;HILO Teen Coffee Tiramisu Ready To Drink Susu UHT [24 pcs];132000.0;151200;132000;0;;;;;;;;;;HiLo Teen RTD Coffee Tiramisu 200ml;2101656;24.0;5500.0;132000.0;151200.0;132000.0;0.0;;;0.0;;;;;0.0;;;0.0;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;2101656P24;;;;;;;;;;;;;;;
2303056180P1G49;Bundle;#DIJAMINMURAH - Buy L-Men Advanced Choco Vanilla [500 g] + Free L-Men Toiletries Bag - #DIJAMINMURAH - Buy L-Men Advanced Choco Vanilla [500 g] + Free L-Men Toiletries Bag;148500.0;213200;183500;0;;;;;;;;;;L-Men Whey Advanced Choco Vanilla 500gr;2303056180;1.0;148500.0;148500.0;178200.0;148500.0;0.0;(FREE) Toiletries Bag 2019 Version;(B)71210071;1.0;0.0;0.0;35000.0;35000.0;0.0;;;0.0;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;2303056180P1G49;;;;;;;;;;;;;;;
2303056180P1G49;Bundle;#DIJAMINMURAH - Buy L-Men Advanced Choco Vanilla [500 g] + Free Merchandise - #DIJAMINMURAH - Buy L-Men Advanced Choco Vanilla [500 g] + Free Merchandise;148500.0;213200;183500;0;;;;;;;;;;L-Men Whey Advanced Choco Vanilla 500gr;2303056180;1.0;148500.0;148500.0;178200.0;148500.0;0.0;(FREE) Toiletries Bag 2019 Version;(B)71210071;1.0;0.0;0.0;35000.0;35000.0;0.0;;;0.0;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;2303056180P1G49;;;;;;;;;;;;;;;
2305551401P1B6;Bundle;[BUY1 GET1] L-Men Platinum High Protein Minuman Kesehatan [25 g/ Serving] - [BUY1 GET1] L-Men Platinum High Protein Minuman Kesehatan [25 g/ Serving];16500.0;40000;16500;0;;;;;;;;;;L-Men Platinum Choco Latte Sachet (25gr Protein);2305551401;1.0;16500.0;16500.0;20000.0;16500.0;0.0;(FREE)L-Men Platinum Sachet;(B)2305551401;1.0;0.0;0.0;20000.0;0.0;0.0;;;0.0;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;2305551401P1B6;;;;;;;;;;;;;;;
